25 1 0 1 16
2 8 1 5
150 10 0 6

0 4 0 1 5 6
1 8 3 4 7 8 9 12 13 14
2 4 0 1 5 6 
3 4 1 2 6 7 
4 4 2 3 7 8 
5 4 3 4 8 9 
6 4 5 6 10 11 
7 4 6 7 11 12 
8 4 7 8 12 13 
9 4 8 9 13 14 
10 4 10 11 15 16 
11 4 11 12 16 17 
12 4 12 13 17 18 
13 4 13 14 18 19 
14 4 15 16 20 21 
15 4 16 17 21 22 
16 4 17 18 22 23 
17 4 18 19 23 24 

99999 3.16 0.71 1.58 2.55 3.54 1.58 2.12 2.92 3.81 2.55 2.92 3.54 4.3 3.54 3.81 4.3 4.95 
3.16 99999 2.55 1.58 0.71 0.71 2.55 1.58 0.71 0.71 2.92 2.12 1.58 1.58 3.54 2.92 2.55 2.55 
0.71 2.55 99999 1 2 3 1 1.41 2.24 3.16 2 2.24 2.83 3.61 3 3.16 3.61 4.24 
1.58 1.58 1 99999 1 2 1.41 1 1.41 2.24 2.24 2 2.24 2.83 3.16 3 3.16 3.61 
2.55 0.71 2 1 99999 1 2.24 1.41 1 1.41 2.83 2.24 2 2.24 3.61 3.16 3 3.16 
3.54 0.71 3 2 1 99999 3.16 2.24 1.41 1 3.61 2.83 2.24 2 4.24 3.61 3.16 3 
1.58 2.55 1 1.41 2.24 3.16 99999 1 2 3 1 1.41 2.24 3.16 2 2.24 2.83 3.61 
2.12 1.58 1.41 1 1.41 2.24 1 99999 1 2 1.41 1 1.41 2.24 2.24 2 2.24 2.83 
2.92 0.71 2.24 1.41 1 1.41 2 1 99999 1 2.24 1.41 1 1.41 2.83 2.24 2 2.24 
3.81 0.71 3.16 2.24 1.41 1 3 2 1 99999 3.16 2.24 1.41 1 3.61 2.83 2.24 2 
2.55 2.92 2 2.24 2.83 3.61 1 1.41 2.24 3.16 99999 1 2 3 1 1.41 2.24 3.16 
2.92 2.12 2.24 2 2.24 2.83 1.41 1 1.41 2.24 1 99999 1 2 1.41 1 1.41 2.24 
3.54 1.58 2.83 2.24 2 2.24 2.24 1.41 1 1.41 2 1 99999 1 2.24 1.41 1 1.41 
4.3 1.58 3.61 2.83 2.24 2 3.16 2.24 1.41 1 3 2 1 99999 3.16 2.24 1.41 1 
3.54 3.54 3 3.16 3.61 4.24 2 2.24 2.83 3.61 1 1.41 2.24 3.16 99999 1 2 3 
3.81 2.92 3.16 3 3.16 3.61 2.24 2 2.24 2.83 1.41 1 1.41 2.24 1 99999 1 2 
4.3 2.55 3.61 3.16 3 3.16 2.83 2.24 2 2.24 2.24 1.41 1 1.41 2 1 99999 1 
4.95 2.55 4.24 3.61 3.16 3 3.61 2.83 2.24 2 3.16 2.24 1.41 1 3 2 1 99999 
